Front,Back,NextReview,Difficulty
Key to press at the GRUB boot screen to edit kernel options,e,2025-09-27T21:57:11-04:00,Good
Parameter to add at the end of the 'linux16' line to interrupt the boot process,rd.break,2025-09-26T02:09:28-04:00,Hard
Key combination to boot the system after adding 'rd.break',Ctrl-x,2025-09-26T16:07:06-04:00,Again
"On RHEL 8, what parameters should be removed from the 'linux16' line?",ro and crashkernel=...,2025-09-26T23:07:30-04:00,Hard
Command to remount the /sysroot filesystem with read-write access,"mount -o remount,rw /sysroot",2025-09-27T04:44:01-04:00,Hard
Command to change the apparent root directory to /sysroot,chroot /sysroot,2025-09-27T05:33:58-04:00,Hard
Command used to change the root password once inside the chroot environment,passwd,2025-09-25T19:24:29-04:00,medium
What is the easiest way to ensure SELinux contexts are corrected after a password reset?,Create an empty file named .autorelabel in the root directory (touch /.autorelabel),2025-09-25T19:24:29-04:00,medium
How do you exit the rd.break shell to resume booting?,Type 'exit' twice,2025-09-25T19:24:29-04:00,medium
Which file is edited to make kernel parameter changes persistent?,/etc/default/grub,2025-09-25T19:24:29-04:00,medium
Command to apply persistent grub changes on a BIOS system,grub2-mkconfig > /boot/grub2/grub.cfg,2025-09-25T19:24:29-04:00,medium
Command to apply persistent grub changes on a UEFI system,grub2-mkconfig > /boot/efi/EFI/redhat/grub.cfg,2025-09-25T19:24:29-04:00,medium
What is the primary command-line tool for managing NetworkManager connections?,nmcli,2025-09-25T19:24:29-04:00,medium
What is the text-based user interface (TUI) for managing NetworkManager?,nmtui,2025-09-25T19:24:29-04:00,medium
Full command to begin adding a new ethernet connection named 'CorpNet' on interface 'eth0'.,nmcli conn add con-name CorpNet ifname eth0 type ethernet,2025-09-25T19:24:29-04:00,medium
Which property in an 'nmcli conn add' command sets the IPv4 address and prefix?,ipv4.addresses <IP_ADDRESS>/<PREFIX>,2025-09-25T19:24:29-04:00,medium
Which property in an 'nmcli conn add' command sets the default gateway?,ipv4.gateway <GATEWAY_ADDRESS>,2025-09-25T19:24:29-04:00,medium
Which property in an 'nmcli conn add' command sets the primary DNS server?,ipv4.dns <DNS_SERVER_ADDRESS>,2025-09-25T19:24:29-04:00,medium
What is the command to modify an existing connection?,nmcli con modify <CONNECTION_NAME> ...,2025-09-25T19:24:29-04:00,medium
"How do you add a DNS server to a connection's existing list, rather than replacing it?",Prefix the property with a plus sign: +ipv4.dns <DNS_SERVER>,2025-09-25T19:24:29-04:00,medium
How do you configure a connection to ignore DNS servers provided automatically by DHCP?,nmcli con mod <CONNECTION_NAME> ipv4.ignore-auto-dns yes,2025-09-25T19:24:29-04:00,medium
How do you activate a connection named 'CorpNet'?,nmcli con up CorpNet,2025-09-25T19:24:29-04:00,medium
How do you show a list of only the currently active connections?,nmcli con show --active,2025-09-25T19:24:29-04:00,medium
How do you configure a connection to start automatically on system reboot?,nmcli con mod <CONNECTION_NAME> connection.autoconnect yes,2025-09-25T19:24:29-04:00,medium
How do you prevent a connection from starting automatically on system reboot?,nmcli con mod <CONNECTION_NAME> connection.autoconnect no,2025-09-25T19:24:29-04:00,medium
"What is the primary, recommended command to permanently set the system hostname?",hostnamectl set-hostname <NEW_HOSTNAME>,2025-09-25T19:24:29-04:00,medium
"Which command, part of NetworkManager, can also be used to set the hostname?",nmcli general hostname <NEW_HOSTNAME>,2025-09-25T19:24:29-04:00,medium
What is the text-based user interface (TUI) that provides a menu to change the hostname?,nmtui,2025-09-25T19:24:29-04:00,medium
Which configuration file contains the system's hostname (though direct editing is not recommended)?,/etc/hostname,2025-09-25T19:24:29-04:00,medium
Which command can be used to view the current hostname and other related system information?,hostnamectl,2025-09-25T19:24:29-04:00,medium
What command checks the current status of SELinux?,getenforce,2025-09-25T19:24:29-04:00,medium
What are the three possible modes for SELinux?,"Enforcing, Permissive, and Disabled",2025-09-25T19:24:29-04:00,medium
Which file must be edited to change the SELinux mode if it is disabled?,/etc/sysconfig/selinux,2025-09-25T19:24:29-04:00,medium
"In the /etc/sysconfig/selinux file, what value should the 'SELINUX=' parameter be set to for enforcing mode?",enforcing,2025-09-25T19:24:29-04:00,medium
What is required for a change from 'disabled' to 'enforcing' or 'permissive' in the config file to take effect?,A system reboot,2025-09-25T19:24:29-04:00,medium
What command installs the Apache web server package?,yum install -y httpd,2025-09-25T19:24:29-04:00,medium
